thscode,trade_date,open,high,low,close,volume
700001.TI,2021-03-17,3489.21,3516.85,3489.21,3516.85,625685950.96
700001.TI,2021-03-18,3522.83,3540.41,3522.83,3540.41,627972754.21
700001.TI,2021-03-19,3494.74,3494.74,3475.27,3475.27,659367977.68
700001.TI,2021-03-22,3477.36,3518.71,3477.36,3518.71,674546180.29
700001.TI,2021-03-23,3519.41,3519.41,3481.76,3481.76,702867462.26
700001.TI,2021-03-24,3463.65,3463.65,3431.97,3431.97,673158056.12
700001.TI,2021-03-25,3416.53,3429.91,3416.53,3429.91,606002099.08
700001.TI,2021-03-26,3442.26,3499.19,3442.26,3499.19,612543875.68
700001.TI,2021-03-29,3508.64,3508.64,3505.49,3505.49,629574751.54
700001.TI,2021-03-30,3500.93,3523.37,3500.93,3523.37,627753047.23
700001.TI,2021-03-31,3518.08,3518.08,3504.34,3504.34,588511841.91
700001.TI,2021-04-01,3509.6,3538.68,3509.6,3538.68,576309416.88
700001.TI,2021-04-02,3548.94,3564.87,3548.94,3564.87,576397142.77
700001.TI,2021-04-06,3575.56,3575.56,3567.72,3567.72,539448997.03
700001.TI,2021-04-07,3570.22,3570.22,3557.37,3557.37,647494112.51
700001.TI,2021-04-08,3543.85,3557.01,3543.85,3557.01,701382640.74
700001.TI,2021-04-09,3550.61,3550.61,3524.29,3524.29,607775272.0
700001.TI,2021-04-12,3520.77,3520.77,3465.79,3465.79,665589531.51
700001.TI,2021-04-13,3463.36,3463.36,3456.09,3456.09,599637690.06
700001.TI,2021-04-14,3458.16,3492.38,3458.16,3492.38,560524047.56
700001.TI,2021-04-15,3484.0,3484.0,3475.62,3475.62,565322856.98
700001.TI,2021-04-16,3483.27,3500.64,3483.27,3500.64,606133253.68
700001.TI,2021-04-19,3500.29,3574.85,3500.29,3574.85,685571099.91
700001.TI,2021-04-20,3563.05,3569.85,3563.05,3569.85,660252605.74
700001.TI,2021-04-21,3550.57,3573.42,3550.57,3573.42,585868103.94
700001.TI,2021-04-22,3585.93,3585.93,3578.78,3578.78,572760697.03
700001.TI,2021-04-23,3577.35,3594.53,3577.35,3594.53,587462929.8
700001.TI,2021-04-26,3607.11,3607.11,3564.7,3564.7,649052096.91
700001.TI,2021-04-27,3562.2,3564.7,3562.2,3564.7,583072165.14
700001.TI,2021-04-28,3555.43,3585.38,3555.43,3585.38,561205197.23
700001.TI,2021-04-29,3587.17,3600.08,3587.17,3600.08,595491384.75
700001.TI,2021-04-30,3593.24,3593.24,3583.52,3583.52,645250362.67
700001.TI,2021-05-06,3575.28,3575.28,3561.3,3561.3,649177187.37
700001.TI,2021-05-07,3568.42,3568.42,3517.5,3517.5,726037857.99
700001.TI,2021-05-10,3521.72,3524.18,3521.72,3524.18,743586168.72
700001.TI,2021-05-11,3500.92,3536.87,3500.92,3536.87,733600420.76
700001.TI,2021-05-12,3524.14,3562.69,3524.14,3562.69,659582208.06
700001.TI,2021-05-13,3528.49,3530.27,3528.49,3530.27,691626635.83
700001.TI,2021-05-14,3540.51,3595.93,3540.51,3595.93,728188588.49
700001.TI,2021-05-17,3596.29,3629.01,3596.29,3629.01,688286184.13
700001.TI,2021-05-18,3629.74,3636.27,3629.74,3636.27,587525786.66
700001.TI,2021-05-19,3626.82,3630.82,3626.82,3630.82,607721459.13
700001.TI,2021-05-20,3622.11,3633.36,3622.11,3633.36,684278898.17
700001.TI,2021-05-21,3642.08,3642.08,3614.1,3614.1,613159112.61
700001.TI,2021-05-24,3615.55,3632.89,3615.55,3632.89,633590143.04
700001.TI,2021-05-25,3637.61,3714.99,3637.61,3714.99,719229840.73
700001.TI,2021-05-26,3719.45,3720.56,3719.45,3720.56,730420835.96
700001.TI,2021-05-27,3716.84,3744.37,3716.84,3744.37,690601048.55
700001.TI,2021-05-28,3747.37,3747.37,3737.26,3737.26,740735401.33
700001.TI,2021-05-31,3741.37,3770.52,3741.37,3770.52,707190039.04
700001.TI,2021-06-01,3764.11,3782.59,3764.11,3782.59,753056631.54
700001.TI,2021-06-02,3785.62,3785.62,3745.14,3745.14,754303408.24
700001.TI,2021-06-03,3743.27,3743.27,3728.29,3728.29,729707312.18
700001.TI,2021-06-04,3713.38,3748.42,3713.38,3748.42,691319722.87
700001.TI,2021-06-07,3753.29,3757.04,3753.29,3757.04,667314770.1
700001.TI,2021-06-08,3757.42,3757.42,3731.12,3731.12,685514439.57
700001.TI,2021-06-09,3727.39,3737.46,3727.39,3737.46,669528564.26
700001.TI,2021-06-10,3736.71,3770.35,3736.71,3770.35,730300417.85
700001.TI,2021-06-11,3776.01,3776.01,3746.97,3746.97,811205480.11
700001.TI,2021-06-15,3745.47,3745.47,3710.62,3710.62,718025321.67
700001.TI,2021-06-16,3708.02,3708.02,3646.8,3646.8,656826200.92
700001.TI,2021-06-17,3644.61,3678.16,3644.61,3678.16,626318910.28
700001.TI,2021-06-18,3680.37,3697.65,3680.37,3697.65,689865479.3
700001.TI,2021-06-21,3688.41,3713.18,3688.41,3713.18,685860985.67
700001.TI,2021-06-22,3723.58,3736.57,3723.58,3736.57,720943874.0
700001.TI,2021-06-23,3739.19,3758.99,3739.19,3758.99,717223350.1
700001.TI,2021-06-24,3764.25,3764.25,3749.22,3749.22,691645402.66
700001.TI,2021-06-25,3751.84,3794.21,3751.84,3794.21,740830471.5
700001.TI,2021-06-28,3800.28,3810.15,3800.28,3810.15,700307257.68
700001.TI,2021-06-29,3812.82,3812.82,3777.38,3777.38,679229000.08
700001.TI,2021-06-30,3780.02,3809.87,3780.02,3809.87,619850050.1
700001.TI,2021-07-01,3819.78,3819.78,3789.68,3789.68,676398448.34
700001.TI,2021-07-02,3767.32,3767.32,3715.4,3715.4,647047062.95
700001.TI,2021-07-05,3716.14,3738.44,3716.14,3738.44,653578128.97
700001.TI,2021-07-06,3744.05,3744.05,3733.21,3733.21,711625531.83
700001.TI,2021-07-07,3711.93,3782.12,3711.93,3782.12,701239222.42
700001.TI,2021-07-08,3790.82,3790.82,3761.32,3761.32,787347041.79
700001.TI,2021-07-09,3745.9,3765.46,3745.9,3765.46,770541245.77
700001.TI,2021-07-12,3792.95,3822.69,3792.95,3822.69,887096595.02
700001.TI,2021-07-13,3822.69,3838.75,3822.69,3838.75,836294372.16
700001.TI,2021-07-14,3829.15,3829.15,3797.68,3797.68,853641859.88
700001.TI,2021-07-15,3787.05,3828.44,3787.05,3828.44,822499646.19
700001.TI,2021-07-16,3824.99,3824.99,3798.96,3798.96,807874687.84
700001.TI,2021-07-19,3792.5,3797.82,3792.5,3797.82,763363538.35
700001.TI,2021-07-20,3769.72,3803.14,3769.72,3803.14,673906390.12
700001.TI,2021-07-21,3816.07,3850.68,3816.07,3850.68,790105857.47
700001.TI,2021-07-22,3856.46,3866.47,3856.46,3866.47,870013209.44
700001.TI,2021-07-23,3863.38,3863.38,3825.1,3825.1,972851129.03
700001.TI,2021-07-26,3813.24,3813.24,3737.12,3737.12,951688125.08
700001.TI,2021-07-27,3738.24,3738.24,3625.38,3625.38,994578641.7
700001.TI,2021-07-28,3594.2,3599.28,3594.2,3599.28,871958736.97
700001.TI,2021-07-29,3660.11,3691.42,3660.11,3691.42,780250041.9
700001.TI,2021-07-30,3682.19,3686.62,3682.19,3686.62,854736677.91
700001.TI,2021-08-02,3681.83,3764.78,3681.83,3764.78,936930261.5
700001.TI,2021-08-03,3750.1,3750.1,3743.32,3743.32,905350381.6
700001.TI,2021-08-04,3738.08,3797.97,3738.08,3797.97,791613837.98
700001.TI,2021-08-05,3780.88,3780.88,3779.36,3779.36,816209861.4
700001.TI,2021-08-06,3783.14,3783.14,3773.69,3773.69,776429606.8
700001.TI,2021-08-09,3754.07,3803.88,3754.07,3803.88,795222240.3
700001.TI,2021-08-10,3803.88,3843.44,3803.88,3843.44,816833013.23
700001.TI,2021-08-11,3840.37,3846.51,3840.37,3846.51,870629458.37
700001.TI,2021-08-12,3835.74,3836.51,3835.74,3836.51,879907347.91
700001.TI,2021-08-13,3822.31,3823.47,3822.31,3823.47,864403884.31
700001.TI,2021-08-16,3816.97,3816.97,3807.41,3807.41,860069660.95
700001.TI,2021-08-17,3803.22,3803.22,3719.84,3719.84,928944829.63
700001.TI,2021-08-18,3719.47,3758.15,3719.47,3758.15,831686563.9
700001.TI,2021-08-19,3751.01,3754.02,3751.01,3754.02,827237062.44
700001.TI,2021-08-20,3728.87,3728.87,3711.97,3711.97,789191661.51
700001.TI,2021-08-23,3725.7,3783.98,3725.7,3783.98,856575793.16
700001.TI,2021-08-24,3788.52,3820.31,3788.52,3820.31,928628948.79
700001.TI,2021-08-25,3821.07,3840.94,3821.07,3840.94,900860978.28
700001.TI,2021-08-26,3838.25,3838.25,3786.78,3786.78,1004333740.67
700001.TI,2021-08-27,3777.31,3802.68,3777.31,3802.68,955109778.58
700001.TI,2021-08-30,3814.09,3814.09,3807.24,3807.24,1053337538.98
700001.TI,2021-08-31,3800.01,3803.43,3800.01,3803.43,1044220236.96
700001.TI,2021-09-01,3804.95,3804.95,3802.67,3802.67,1259202345.43
700001.TI,2021-09-02,3794.3,3828.53,3794.3,3828.53,1087819679.24
700001.TI,2021-09-03,3833.12,3833.12,3808.24,3808.24,1212655052.54
700001.TI,2021-09-06,3809.38,3866.89,3809.38,3866.89,1054001736.88
700001.TI,2021-09-07,3866.5,3920.64,3866.5,3920.64,1078268223.86
700001.TI,2021-09-08,3919.86,3919.86,3919.46,3919.46,1195492411.68
700001.TI,2021-09-09,3910.84,3924.95,3910.84,3924.95,1174456547.77
700001.TI,2021-09-10,3921.81,3943.4,3921.81,3943.4,1207599714.17
700001.TI,2021-09-13,3941.82,3942.61,3941.82,3942.61,1103046339.95
700001.TI,2021-09-14,3937.88,3937.88,3902.4,3902.4,1138201960.93
700001.TI,2021-09-15,3893.03,3896.55,3893.03,3896.55,984866209.47
700001.TI,2021-09-16,3898.11,3898.11,3825.63,3825.63,1115105499.5
700001.TI,2021-09-17,3816.83,3840.17,3816.83,3840.17,1021049125.7
700001.TI,2021-09-22,3784.49,3837.48,3784.49,3837.48,904617870.76
700001.TI,2021-09-23,3862.04,3862.04,3855.13,3855.13,1046348253.22
700001.TI,2021-09-24,3849.35,3849.35,3825.45,3825.45,993059910.25
700001.TI,2021-09-27,3838.46,3838.46,3781.46,3781.46,1020878050.97
700001.TI,2021-09-28,3771.63,3785.62,3771.63,3785.62,800778433.36
700001.TI,2021-09-29,3755.71,3755.71,3710.66,3710.66,852102148.02
700001.TI,2021-09-30,3723.28,3767.43,3723.28,3767.43,712453915.91
700001.TI,2021-10-08,3808.87,3808.87,3794.18,3794.18,788533037.69
700001.TI,2021-10-11,3802.15,3802.15,3787.73,3787.73,751616130.53
700001.TI,2021-10-12,3777.5,3777.5,3729.78,3729.78,782573842.34
700001.TI,2021-10-13,3729.41,3767.82,3729.41,3767.82,654106301.2
700001.TI,2021-10-14,3762.17,3769.7,3762.17,3769.7,626801652.87
700001.TI,2021-10-15,3759.14,3781.01,3759.14,3781.01,695728962.02
700001.TI,2021-10-18,3777.99,3779.88,3777.99,3779.88,694407505.58
700001.TI,2021-10-19,3777.61,3810.12,3777.61,3810.12,689970675.05
700001.TI,2021-10-20,3804.4,3807.83,3804.4,3807.83,719201088.68
700001.TI,2021-10-21,3810.11,3810.11,3807.83,3807.83,722200919.12
700001.TI,2021-10-22,3810.88,3810.88,3802.12,3802.12,732539038.36
700001.TI,2021-10-25,3796.42,3834.44,3796.42,3834.44,681401600.0
700001.TI,2021-10-26,3842.49,3842.49,3822.17,3822.17,720259598.95
700001.TI,2021-10-27,3813.38,3813.38,3781.65,3781.65,744265810.57
700001.TI,2021-10-28,3769.17,3769.17,3732.49,3732.49,766143235.94
700001.TI,2021-10-29,3734.36,3781.01,3734.36,3781.01,735757654.17
700001.TI,2021-11-01,3767.4,3790.08,3767.4,3790.08,789106860.81
700001.TI,2021-11-02,3790.08,3790.08,3751.8,3751.8,858356483.01
700001.TI,2021-11-03,3748.05,3748.05,3747.67,3747.67,665004244.92
700001.TI,2021-11-04,3760.41,3788.89,3760.41,3788.89,702695245.44
700001.TI,2021-11-05,3783.59,3783.59,3757.44,3757.44,798181064.85
700001.TI,2021-11-08,3755.19,3773.22,3755.19,3773.22,698105014.18
700001.TI,2021-11-09,3782.28,3795.48,3782.28,3795.48,675237221.99
700001.TI,2021-11-10,3784.09,3784.85,3784.09,3784.85,732273941.25
700001.TI,2021-11-11,3779.55,3830.27,3779.55,3830.27,774929684.92
700001.TI,2021-11-12,3831.42,3842.91,3831.42,3842.91,755730064.05
700001.TI,2021-11-15,3847.91,3847.91,3832.53,3832.53,779360328.27
700001.TI,2021-11-16,3828.31,3828.31,3814.13,3814.13,767766301.58
700001.TI,2021-11-17,3816.42,3845.41,3816.42,3845.41,712887307.46
700001.TI,2021-11-18,3840.03,3840.03,3821.95,3821.95,788940829.57
700001.TI,2021-11-19,3818.51,3865.9,3818.51,3865.9,777211542.16
700001.TI,2021-11-22,3871.7,3907.65,3871.7,3907.65,804560549.47
700001.TI,2021-11-23,3904.52,3908.04,3904.52,3908.04,838566010.0
700001.TI,2021-11-24,3907.26,3907.26,3906.87,3906.87,812484050.34
700001.TI,2021-11-25,3907.65,3907.65,3897.1,3897.1,751889740.28
700001.TI,2021-11-26,3889.7,3889.7,3885.02,3885.02,740665006.86
700001.TI,2021-11-29,3844.62,3893.57,3844.62,3893.57,767776980.32
700001.TI,2021-11-30,3905.25,3905.25,3897.07,3897.07,820695064.56
700001.TI,2021-12-01,3894.73,3906.81,3894.73,3906.81,789156564.06
700001.TI,2021-12-02,3902.12,3902.12,3891.57,3891.57,830569165.12
700001.TI,2021-12-03,3893.9,3922.7,3893.9,3922.7,807852637.78
700001.TI,2021-12-06,3924.27,3924.27,3888.57,3888.57,885102181.73
700001.TI,2021-12-07,3911.9,3911.9,3874.18,3874.18,850192398.51
700001.TI,2021-12-08,3884.64,3933.45,3884.64,3933.45,765550851.52
700001.TI,2021-12-09,3935.02,3968.06,3935.02,3968.06,899041132.76
700001.TI,2021-12-10,3946.24,3968.85,3946.24,3968.85,871575395.34
700001.TI,2021-12-13,3986.71,3989.49,3986.71,3989.49,897852748.78
700001.TI,2021-12-14,3979.12,3979.12,3975.93,3975.93,822609683.36
700001.TI,2021-12-15,3969.57,3969.57,3955.26,3955.26,850085166.98
700001.TI,2021-12-16,3957.63,3980.18,3957.63,3980.18,853496198.76
700001.TI,2021-12-17,3973.41,3973.41,3928.04,3928.04,910319016.77
700001.TI,2021-12-20,3914.68,3914.68,3868.73,3868.73,926991842.63
700001.TI,2021-12-21,3866.41,3906.64,3866.41,3906.64,887677413.08
700001.TI,2021-12-22,3915.63,3918.75,3915.63,3918.75,924103947.64
700001.TI,2021-12-23,3921.89,3930.51,3921.89,3930.51,872477590.98
700001.TI,2021-12-24,3932.87,3932.87,3887.67,3887.67,895751834.08
700001.TI,2021-12-27,3883.78,3887.67,3883.78,3887.67,763523807.15
700001.TI,2021-12-28,3892.34,3916.44,3892.34,3916.44,746043909.96
700001.TI,2021-12-29,3915.27,3915.27,3881.98,3881.98,727859012.1
700001.TI,2021-12-30,3882.37,3914.98,3882.37,3914.98,762076941.73
700001.TI,2021-12-31,3925.55,3938.86,3925.55,3938.86,797730490.18
700001.TI,2022-01-04,3953.04,3953.04,3929.8,3929.8,975066378.0
700001.TI,2022-01-05,3923.51,3923.51,3872.03,3872.03,1004634230.69
700001.TI,2022-01-06,3851.9,3863.51,3851.9,3863.51,882800012.9
700001.TI,2022-01-07,3866.21,3866.21,3833.76,3833.76,996159308.38
700001.TI,2022-01-10,3826.09,3852.55,3826.09,3852.55,818350392.32
700001.TI,2022-01-11,3851.01,3851.01,3818.65,3818.65,834191500.77
700001.TI,2022-01-12,3834.31,3864.09,3834.31,3864.09,808149623.68
700001.TI,2022-01-13,3868.34,3868.34,3805.74,3805.74,863789834.83
700001.TI,2022-01-14,3788.99,3791.28,3788.99,3791.28,882759193.68
700001.TI,2022-01-17,3794.31,3835.64,3794.31,3835.64,816445994.01
700001.TI,2022-01-18,3836.02,3840.63,3836.02,3840.63,925013585.11
700001.TI,2022-01-19,3834.48,3834.48,3814.51,3814.51,813880038.49
700001.TI,2022-01-20,3813.37,3813.37,3794.67,3794.67,893359405.79
700001.TI,2022-01-21,3783.29,3783.29,3754.07,3754.07,760722448.22
700001.TI,2022-01-24,3734.17,3761.2,3734.17,3761.2,651080867.26
700001.TI,2022-01-25,3744.65,3744.65,3648.74,3648.74,769626132.56
700001.TI,2022-01-26,3660.78,3671.73,3660.78,3671.73,614233410.96
700001.TI,2022-01-27,3670.26,3670.26,3582.87,3582.87,645426237.97
700001.TI,2022-01-28,3604.01,3604.01,3566.03,3566.03,642462736.02
700001.TI,2022-02-07,3619.52,3619.52,3617.38,3617.38,688891455.21
700001.TI,2022-02-08,3613.4,3621.0,3613.4,3621.0,757470525.5
700001.TI,2022-02-09,3620.64,3666.62,3620.64,3666.62,777406514.94
700001.TI,2022-02-10,3668.45,3668.45,3654.89,3654.89,761246872.4
700001.TI,2022-02-11,3638.44,3638.44,3607.01,3607.01,800402727.18
700001.TI,2022-02-14,3588.61,3588.61,3581.04,3581.04,705440958.16
700001.TI,2022-02-15,3584.26,3619.72,3584.26,3619.72,644990159.59
700001.TI,2022-02-16,3635.28,3640.71,3635.28,3640.71,649143911.91
700001.TI,2022-02-17,3637.43,3648.36,3637.43,3648.36,726393530.0
700001.TI,2022-02-18,3627.93,3668.79,3627.93,3668.79,683147344.37
700001.TI,2022-02-21,3669.16,3680.53,3669.16,3680.53,749227900.74
700001.TI,2022-02-22,3658.81,3658.81,3639.68,3639.68,782617934.8
700001.TI,2022-02-23,3644.78,3694.64,3644.78,3694.64,779075228.55
700001.TI,2022-02-24,3674.32,3674.32,3617.42,3617.42,1116673296.32
700001.TI,2022-02-25,3644.55,3653.23,3644.55,3653.23,811327043.3
700001.TI,2022-02-28,3651.4,3664.56,3651.4,3664.56,741730199.71
700001.TI,2022-03-01,3674.45,3686.55,3674.45,3686.55,723699052.38
700001.TI,2022-03-02,3669.59,3671.07,3669.59,3671.07,728735071.13
700001.TI,2022-03-03,3683.92,3683.92,3650.14,3650.14,862774916.71
700001.TI,2022-03-04,3625.32,3625.32,3605.97,3605.97,841175741.87
700001.TI,2022-03-07,3589.38,3589.38,3514.02,3514.02,822984406.4
700001.TI,2022-03-08,3516.13,3516.13,3421.95,3421.95,899351812.85
700001.TI,2022-03-09,3431.87,3431.87,3383.28,3383.28,985712741.46
700001.TI,2022-03-10,3457.37,3457.37,3443.84,3443.84,834207171.02
700001.TI,2022-03-11,3398.04,3461.4,3398.04,3461.4,829123083.44
700001.TI,2022-03-14,3425.4,3425.4,3363.44,3363.44,747764270.01
700001.TI,2022-03-15,3330.48,3330.48,3203.68,3203.68,954382834.15
700001.TI,2022-03-16,3258.14,3324.78,3258.14,3324.78,953367978.9
700001.TI,2022-03-17,3376.65,3387.29,3376.65,3387.29,949830680.24
700001.TI,2022-03-18,3373.06,3416.42,3373.06,3416.42,823234549.22
700001.TI,2022-03-21,3424.28,3430.77,3424.28,3430.77,825145042.48
700001.TI,2022-03-22,3424.59,3424.94,3424.59,3424.94,820943358.31
700001.TI,2022-03-23,3433.84,3441.38,3433.84,3441.38,796423797.17
700001.TI,2022-03-24,3422.11,3422.11,3414.54,3414.54,766939182.71
700001.TI,2022-03-25,3414.54,3414.54,3367.42,3367.42,774953085.27
700001.TI,2022-03-28,3339.13,3350.58,3339.13,3350.58,765950314.71
700001.TI,2022-03-29,3356.28,3356.28,3333.16,3333.16,738495387.05
700001.TI,2022-03-30,3349.49,3412.49,3349.49,3412.49,815019128.92
700001.TI,2022-03-31,3400.21,3400.21,3385.53,3385.53,894340985.72
700001.TI,2022-04-01,3365.22,3408.89,3365.22,3408.89,846441904.51
700001.TI,2022-04-06,3400.71,3406.5,3400.71,3406.5,911571189.86
700001.TI,2022-04-07,3389.13,3389.13,3347.23,3347.23,879301642.15
700001.TI,2022-04-08,3350.24,3350.24,3347.9,3347.9,874727653.3
700001.TI,2022-04-11,3330.16,3330.16,3241.77,3241.77,886202067.41
700001.TI,2022-04-12,3239.82,3296.56,3239.82,3296.56,866485548.11
700001.TI,2022-04-13,3277.77,3277.77,3251.4,3251.4,827984239.96
700001.TI,2022-04-14,3271.23,3289.44,3271.23,3289.44,776737358.44
700001.TI,2022-04-15,3269.05,3269.05,3266.08,3266.08,844990766.43
700001.TI,2022-04-18,3240.28,3266.08,3240.28,3266.08,711115568.92
700001.TI,2022-04-19,3262.16,3262.16,3259.22,3259.22,695280131.17
700001.TI,2022-04-20,3256.29,3256.29,3206.75,3206.75,759018387.97
700001.TI,2022-04-21,3190.4,3190.4,3117.6,3117.6,810654217.25
700001.TI,2022-04-22,3095.78,3109.49,3095.78,3109.49,708202865.19
700001.TI,2022-04-25,3051.65,3051.65,2921.37,2921.37,882744168.71
700001.TI,2022-04-26,2924.0,2924.0,2867.32,2867.32,829289232.52
700001.TI,2022-04-27,2838.07,2965.96,2838.07,2965.96,894246768.99
700001.TI,2022-04-28,2950.54,2963.59,2950.54,2963.59,779985121.51
700001.TI,2022-04-29,2980.78,3060.2,2980.78,3060.2,883386164.33
700001.TI,2022-05-05,3049.49,3080.09,3049.49,3080.09,787904867.68
700001.TI,2022-05-06,3012.94,3017.87,3012.94,3017.87,714246900.48
700001.TI,2022-05-09,3006.1,3023.6,3006.1,3023.6,627472451.07
700001.TI,2022-05-10,2982.18,3066.23,2982.18,3066.23,780962157.8
700001.TI,2022-05-11,3068.07,3100.27,3068.07,3100.27,929710667.45
700001.TI,2022-05-12,3081.67,3100.58,3081.67,3100.58,747435739.78
700001.TI,2022-05-13,3116.7,3123.21,3116.7,3123.21,716173395.68
700001.TI,2022-05-16,3143.82,3143.82,3112.59,3112.59,746379172.29
700001.TI,2022-05-17,3114.15,3139.05,3114.15,3139.05,717038114.69
700001.TI,2022-05-18,3143.13,3143.13,3137.17,3137.17,708467339.02
700001.TI,2022-05-19,3093.25,3153.48,3093.25,3153.48,750551196.16
700001.TI,2022-05-20,3167.99,3205.51,3167.99,3205.51,818255717.94
700001.TI,2022-05-23,3210.96,3214.16,3210.96,3214.16,773049638.09
700001.TI,2022-05-24,3213.84,3213.84,3111.31,3111.31,904668519.3
700001.TI,2022-05-25,3110.38,3147.09,3110.38,3147.09,716097853.84
700001.TI,2022-05-26,3152.44,3163.14,3152.44,3163.14,770273582.06
700001.TI,2022-05-27,3180.22,3180.22,3165.67,3165.67,755720079.59
700001.TI,2022-05-30,3179.92,3193.21,3179.92,3193.21,722317611.9
700001.TI,2022-05-31,3195.13,3238.55,3195.13,3238.55,795264524.98
700001.TI,2022-06-01,3232.72,3241.79,3232.72,3241.79,775809699.55
700001.TI,2022-06-02,3230.44,3263.19,3230.44,3263.19,768126282.11
700001.TI,2022-06-06,3264.82,3327.15,3264.82,3327.15,887220291.09
700001.TI,2022-06-07,3327.82,3328.81,3327.82,3328.81,860301818.22
700001.TI,2022-06-08,3331.81,3348.12,3331.81,3348.12,912270692.72
700001.TI,2022-06-09,3341.76,3341.76,3303.59,3303.59,858382604.43
700001.TI,2022-06-10,3282.12,3361.07,3282.12,3361.07,882798876.95
700001.TI,2022-06-13,3332.16,3346.28,3332.16,3346.28,906369297.29
700001.TI,2022-06-14,3311.48,3362.68,3311.48,3362.68,941305368.42
700001.TI,2022-06-15,3366.72,3381.17,3366.72,3381.17,1113531023.02
700001.TI,2022-06-16,3384.55,3384.55,3381.17,3381.17,924187131.3
700001.TI,2022-06-17,3358.85,3420.05,3358.85,3420.05,860487884.05
700001.TI,2022-06-20,3430.65,3444.33,3430.65,3444.33,890217263.08
700001.TI,2022-06-21,3444.33,3444.33,3430.21,3430.21,887213359.88
700001.TI,2022-06-22,3433.98,3433.98,3387.33,3387.33,815434414.63
700001.TI,2022-06-23,3392.07,3452.37,3392.07,3452.37,873180157.87
